ATQShares,ATQ_AvgT,ATQ_Pct,ATQ_TotalT,All_AvgT,AvgEffecSpread,AvgEffecSpread_T,AvgRealSpread,AvgRealSpread_T,AwayExecShares,Broker,Broker_Size,CancelledShares,CoveredOrders,CoveredShares,Exchange,ExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_5_30,ExecShares_60_299,MarketCenter,MktCtrAvg_All_AvgT,MktCtrAvg_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,MktCtrAvg_PrImp_Pct,MktCtrExecShares,MktShare,OTQShares,OTQ_AvgAmt,OTQ_AvgT,OTQ_Pct,OTQ_TotalT,OrderCode,OrderType,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,PrImp_ExpAmt,PrImp_Pct,PrImp_TotalAmt,PrImp_TotalT,Quarter,Rebate,Rebate_Dummy,Rel_All_AvgT,Rel_PrImp_AvgT,Rel_PrImp_ExpAmt,Rel_PrImp_Pct
-1923240.7142857127,0.004073140391022984,-0.13153232686053468,74723.9571428572,0.5584799743980893,-0.014135474496752447,-288266.2423428588,-0.013173776047817099,-457344.7694142868,1619192.1428571418,Cowen Execution,0.0,8859297.42857143,54505.71428571429,18256589.85714286,NASDAQ,9398668.285714284,9246956.428571425,3201.142857142857,3840.0,53811.857142857145,90901.71428571429,ARCA,-0.043681175063258804,0.02975625060334086,0.0016316028794257278,0.08621081637044004,7779476.142857142,0.0,-1698790.1428571437,140.74962857142836,1.48208088228782,-0.06361888244340345,10084021.671428574,0,Market,13020699.142857144,0.006139650862576833,0.8394626318975817,0.010131308116296941,0.19515120930393806,671055.4594428574,24760991.5,2015Q3,0.0,0,0.6021611494613479,0.8097063812942409,0.008499705236871217,0.108940392933498
-3964498.166666668,0.0030162530243133014,-0.050818544335859805,48958.59999999998,0.5396581241686992,-0.0005777788012702491,-129163.97218333534,-0.017644855275313124,-1325726.4598500011,-1601206.666666668,Credit Suisse,0.0,8586868.0,20164.0,6312121.833333336,NASDAQ,-2273168.833333336,-2419206.5,2628.3333333333335,3427.833333333333,52101.5,87966.5,ARCA,-1.4663037665135759,-0.6742099002149233,-0.0019394929021166601,0.03766413158695425,-671962.1666666642,0.0,-554749.333333333,59.64918333333317,1.3668844749993678,-0.004242439327546879,9174303.26666667,0,Market,2246078.666666668,0.009881742693584994,0.8834438946321943,0.005432259750763986,0.055060983663406726,278451.5048833332,24184473.833333332,2015Q3,0.0,1,2.0059618906822756,1.5576537948471174,0.0073717526528806485,0.017396852076452474
-2254116.666666668,0.0031490891377289817,-0.10571253105790784,20470.91111111117,0.5735603449132184,-0.010679054474054463,-266743.8608888909,-0.016655194637075054,-933359.4796333346,672333.555555556,Deutsche,0.0,9178611.333333334,45536.88888888889,15019652.444444448,NASDAQ,5842695.888888888,5686380.222222224,2965.0,3788.8888888888887,55691.333333333336,93994.77777777778,ARCA,-0.8672895038510009,-0.34083185446288083,-0.00024458948861961864,0.06839007563182364,5170362.333333336,0.011122222222222223,-1283442.444444444,113.1875999999998,1.4881882382899885,-0.04583534722525935,10035253.088888891,0,Market,9380255.0,0.006780407557342022,0.8853682144524934,0.008732740862655368,0.15154787828316718,542140.6173111113,25617321.68888889,2015Q3,0.0,1,1.4408498487642192,1.226200068915374,0.008977330351274985,0.0831578026513437
-1121389576.0,-1.3806029269501243,-0.048066070215356804,-5329375291.788886,-1.4348899367448271,0.002835451047491628,-19397682.96111113,0.013394248401455883,28777094.89181113,-23044680.888888896,Barclays Capital,0.0,-2443713673.5555553,-11463062.555555556,-3050091026.666667,NASDAQ,-1105042458.1111112,-1094720666.1111112,-3188350.0,-1609991.3333333333,-1772175.888888889,-2985767.5555555555,ARCA,3.1649132862687885,-0.18054177555238998,-0.0009279325199107427,-0.05025870365420654,-1081997777.2222223,-0.031299999999999994,19173514.444444448,626.328988888886,-12.264289695728184,0.019386821267115037,-628695667.422222,0,Limit,-2826396.5555555522,0.0016091152552976315,-0.009410057680147493,0.0005813912875835003,0.028679248948241753,240536.92791110976,-1684668.3555555567,2015Q3,0.0,1,-4.599803223013616,0.17113171787224235,0.0015093238074942433,0.07893795260244824
-1321760179.4285712,-1.7518798040024777,-0.05657903766227679,-6797128391.15714,-1.8357644868710652,0.0024250146851061485,-24545329.6553286,0.015069865955195836,34343405.70575715,-26643698.0,Cowen Execution,0.0,-3047249940.285714,-14011860.57142857,-3783995292.1428576,NASDAQ,-1294409341.142857,-1281386911.142857,-3990674.571428572,-2029038.4285714286,-2246095.285714286,-3775261.1428571427,ARCA,2.9710095164283246,-0.2297362102836869,-0.0010605076374955906,-0.05278496726487353,-1267765643.142857,0.0,23567467.285714284,818.4174142857103,-16.002378213788507,0.02196623267170447,-829230848.0142854,0,Limit,3783371.0,0.0017382790242592566,-0.017766756822435247,0.0006781602331987345,0.034612804990572274,374548.4201142844,-3247115.314285716,2015Q3,0.0,0,-4.806774003299392,0.21196945346125162,0.001738667870694325,0.08739777225544582
-556763610.1666665,-0.6525777442623432,-0.02853394095804629,-2324818095.2833314,-0.6353434509237819,0.0031244726634506483,-6268387.660266645,0.008555846137426484,15516055.738733366,-12870746.833333328,Credit Suisse,0.0,-1001439562.6666667,-4854489.166666668,-1199527926.166667,NASDAQ,-549955394.5,-545651723.5,-1328022.1666666667,-681953.5,-717393.6666666666,-1261311.3333333333,ARCA,2.405070032852084,-0.0234200838387425,-0.00042302424148999524,-0.04288392087033882,-537084647.6666665,0.0,12633148.666666672,193.60153333333298,-3.6258975697974707,0.01300752889912455,-160777183.4166667,0,Limit,-5824933.0,0.0011491613665853134,0.004493792382587302,0.0003455541382333977,0.01552641205892169,96865.70936666569,975754.3333333326,2015Q3,0.0,1,-3.0404134837758683,0.027913876221329847,0.0007685783797233929,0.058410332929260456
-1121389576.0,-1.3806029269501243,-0.048066070215356804,-5329375291.788886,-1.4348899367448271,0.002835451047491628,-19397682.96111113,0.013394248401455883,28777094.89181113,-23044680.888888896,Deutsche,0.0,-2443713673.5555553,-11463062.555555556,-3050091026.666667,NASDAQ,-1105042458.1111112,-1094720666.1111112,-3188350.0,-1609991.3333333333,-1772175.888888889,-2985767.5555555555,ARCA,3.1649132862687885,-0.18054177555238998,-0.0009279325199107427,-0.05025870365420654,-1081997777.2222223,-0.03848888888888888,19173514.444444448,626.328988888886,-12.264289695728184,0.019386821267115037,-628695667.422222,0,Limit,-2826396.5555555522,0.0016091152552976315,-0.009410057680147493,0.0005813912875835003,0.028679248948241753,240536.92791110976,-1684668.3555555567,2015Q3,0.0,1,-4.599803223013616,0.17113171787224235,0.0015093238074942433,0.07893795260244824
-3566036.777777776,-0.009825863717881037,-0.1015712241405704,-503348.98888888897,-0.10685347065895684,-0.011942455186832061,-664488.3653777777,-0.02070660452856691,-1609578.3797666666,1604422.0,Barclays Capital,0.0,3857189.888888889,121453.88888888888,8117621.0,NYSE,4262228.555555552,4286690.666666672,-14061.11111111111,-4980.222222222223,-1278.111111111111,-2742.6666666666665,ARCA,0.9916982536887264,-0.1502685687232857,-0.13207170380680125,-0.06460493084830121,2657806.5555555522,0.0,-3102907.444444444,69.75416666666673,-1.6281748881045983,-0.060483970694293315,-7743374.177777775,0,Market,10931172.777777776,0.004697113409116875,-0.0124510322724432,0.004424535811889492,0.1620551948348638,274204.739600001,-610157.1777777777,2015Q3,0.0,1,-1.0985517243476832,0.13781753645084255,0.13649623961869073,0.2266601256831649
-8085876.200000003,-0.018696565835789596,-0.01145805298003788,-947268.7200000003,-0.1936946008989717,-0.0011568737824632792,-295459.9365200002,-0.0169421307256443,-1774551.4265600003,-4670995.799999997,Credit Suisse,0.0,-71824.19999999925,28058.20000000001,-15065044.200000003,NYSE,-14990604.599999994,-14943176.799999997,-28746.0,-8964.4,-2300.6,-4896.8,ARCA,-0.6960212537100579,-0.44360228707059984,-0.0012287692702319412,-0.08698897818972828,-10319608.799999997,0.0,-784236.0,-14.621480000000119,-2.946138829095344,0.0036060630654228543,-14013977.079999998,0,Market,-6120492.3999999985,-0.00037896865898948834,-0.021607915420554003,-8.577549374571072e-06,0.007851989914614943,-207116.0284599989,-1113531.0399999998,2015Q3,0.0,1,0.5023266528110861,0.4219943716500459,0.0012201917208573701,0.09484096810434323
-3566036.777777776,-0.009825863717881037,-0.1015712241405704,-503348.98888888897,-0.10685347065895684,-0.011942455186832061,-664488.3653777777,-0.02070660452856691,-1609578.3797666666,1604422.0,Deutsche,0.0,3857189.888888889,121453.88888888888,8117621.0,NYSE,4262228.555555552,4286690.666666672,-14061.11111111111,-4980.222222222223,-1278.111111111111,-2742.6666666666665,ARCA,0.9916982536887264,-0.1502685687232857,-0.13207170380680125,-0.06460493084830121,2657806.5555555522,0.0035666666666666668,-3102907.444444444,69.75416666666673,-1.6281748881045983,-0.060483970694293315,-7743374.177777775,0,Market,10931172.777777776,0.004697113409116875,-0.0124510322724432,0.004424535811889492,0.1620551948348638,274204.739600001,-610157.1777777777,2015Q3,0.0,1,-1.0985517243476832,0.13781753645084255,0.13649623961869073,0.2266601256831649
