Broker,Exchange,OrderType,Quarter,Rebate,MarketCenter,MktShare,Rebate_Dummy,Obs_id
AXA,NASDAQ,Limit,2016Q2,0.0,UBSS,0.0284,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q2,0.0,VRTU,0.2623,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,CDRG,0.1648,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,CFCO,0.0774,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,G1ES,0.3481,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,SGMA,0.1103,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,VRTU,0.235,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,CDRG,0.1616,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,CFCO,0.0343,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,G1ES,0.2545,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,SGMA,0.0707,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,UBSS,0.0525,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,VRTU,0.3899,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,CDRG,0.125,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,CFCO,0.0236,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,G1ES,0.2855,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,SGMA,0.1723,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,VRTU,0.3243,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q2,0.0,CDRG,0.2178,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q2,0.0,G1ES,0.27399999999999997,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q2,0.0,SGMA,0.2214,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q2,0.0,VRTU,0.1996,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q3,0.0,CDRG,0.3174,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q3,0.0,CFCO,0.0335,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q3,0.0,G1ES,0.1132,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q3,0.0,SGMA,0.1691,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q3,0.0,UBSS,0.0303,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q3,0.0,VRTU,0.327,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Market,2014Q1,0.0,ATDF,0.14400000000000002,0,AXA-ATDF-NASDAQ-Market
AXA,NASDAQ,Market,2014Q1,0.0,CDRG,0.2162,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2014Q1,0.0,FBCO,0.1146,0,AXA-FBCO-NASDAQ-Market
AXA,NASDAQ,Market,2014Q1,0.0,G1ES,0.0382,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2014Q1,0.0,KCG,0.3901,0,AXA-KCG-NASDAQ-Market
AXA,NASDAQ,Market,2014Q2,0.0,ATDF,0.2829,0,AXA-ATDF-NASDAQ-Market
AXA,NASDAQ,Market,2014Q2,0.0,CDRG,0.2186,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2014Q2,0.0,FBCO,0.0985,0,AXA-FBCO-NASDAQ-Market
AXA,NASDAQ,Market,2014Q2,0.0,G1ES,0.0579,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2014Q2,0.0,KCG,0.2237,0,AXA-KCG-NASDAQ-Market
AXA,NASDAQ,Market,2014Q3,0.0,ATDF,0.1499,0,AXA-ATDF-NASDAQ-Market
AXA,NASDAQ,Market,2014Q3,0.0,CDRG,0.2196,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2014Q3,0.0,FBCO,0.0864,0,AXA-FBCO-NASDAQ-Market
AXA,NASDAQ,Market,2014Q3,0.0,G1ES,0.2146,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2014Q3,0.0,KCG,0.2051,0,AXA-KCG-NASDAQ-Market
AXA,NASDAQ,Market,2014Q3,0.0,UBSS,0.0679,0,AXA-UBSS-NASDAQ-Market
AXA,NASDAQ,Market,2014Q4,0.0,ATDF,0.1727,0,AXA-ATDF-NASDAQ-Market
AXA,NASDAQ,Market,2014Q4,0.0,CDRG,0.19699999999999998,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2014Q4,0.0,CFCO,0.0774,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2014Q4,0.0,FBCO,0.0952,0,AXA-FBCO-NASDAQ-Market
AXA,NASDAQ,Market,2014Q4,0.0,G1ES,0.1811,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2014Q4,0.0,KCG,0.212,0,AXA-KCG-NASDAQ-Market
AXA,NASDAQ,Market,2014Q4,0.0,UBSS,0.0575,0,AXA-UBSS-NASDAQ-Market
AXA,NASDAQ,Market,2015Q1,0.0,ATDF,0.1677,0,AXA-ATDF-NASDAQ-Market
AXA,NASDAQ,Market,2015Q1,0.0,CDRG,0.17800000000000002,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2015Q1,0.0,CFCO,0.1587,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2015Q1,0.0,G1ES,0.1997,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2015Q1,0.0,KCG,0.1909,0,AXA-KCG-NASDAQ-Market
AXA,NASDAQ,Market,2015Q1,0.0,UBSS,0.0548,0,AXA-UBSS-NASDAQ-Market
AXA,NASDAQ,Market,2015Q2,0.0,ATDF,0.1474,0,AXA-ATDF-NASDAQ-Market
AXA,NASDAQ,Market,2015Q2,0.0,CDRG,0.1249,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2015Q2,0.0,CFCO,0.1593,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2015Q2,0.0,G1ES,0.2629,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2015Q2,0.0,KCG,0.2146,0,AXA-KCG-NASDAQ-Market
AXA,NASDAQ,Market,2015Q2,0.0,UBSS,0.0538,0,AXA-UBSS-NASDAQ-Market
