ATQShares,ATQ_AvgT,ATQ_Pct,ATQ_TotalT,All_AvgT,AvgEffecSpread,AvgEffecSpread_T,AvgRealSpread,AvgRealSpread_T,AwayExecShares,Broker_Size,CancelledShares,CoveredOrders,CoveredShares,ExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_5_30,ExecShares_60_299,MktCtrAvg_All_AvgT,MktCtrAvg_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,MktCtrAvg_PrImp_Pct,MktCtrExecShares,MktShare,OTQShares,OTQ_AvgAmt,OTQ_AvgT,OTQ_Pct,OTQ_TotalT,OrderCode,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,PrImp_ExpAmt,PrImp_Pct,PrImp_TotalAmt,PrImp_TotalT,Quarter,Rebate,Rel_All_AvgT,Rel_PrImp_AvgT,Rel_PrImp_ExpAmt,Rel_PrImp_Pct,Broker,MarketCenter,Exchange,OrderType,Rebate_Dummy
-7067636.0,-0.011075322028422721,-0.009556872489914367,-2365194.3000000007,-0.010076160246983039,-0.0006478820073831416,-386355.582500048,-0.0005054090588181956,-476674.0700999908,0.0,0.0,-459139.0,-98123.0,43341583.0,43803531.0,43778729.0,33973.0,13886.0,-4416.0,-18641.0,-0.03194714429331673,-0.0061021445955433545,1.0808105315027992,0.06828968558873116,43803531.0,0.10170000000000001,-20846132.0,-53.735300000000905,0.1053258271032842,-0.017236684807595395,-4260334.899999982,0.0,71717299.0,-0.0009925780133309605,-0.0052711742464310665,-0.0006785363894697104,0.026793557297509762,-641320.9211999979,-4857591.8999999985,1,0.0,0.021870984046333697,0.0008309703491122811,-1.0814890678922688,-0.0414961282912214,LPL,SGMA,NYSE,Market,0
-20259106.0,-0.0037537905318148768,-0.005155356530252619,-2295877.3999999985,-0.0037561386633398856,0.002042951063042921,1195612.0141999982,0.0012052348323420788,968555.3034999855,0.0,0.0,-1001717.0,37995.0,-124850100.0,-123850077.0,-123676902.0,-84004.0,-47021.0,-5709.0,-36441.0,-0.007924761151377108,-0.008379097588245565,-1.081550745955236,-0.07708678280908399,-123850077.0,-0.00990000000000002,-251325.0,-0.1769000000001597,-0.05770862948498484,0.002015110221432241,-1704430.0000000037,0.0,-103339646.0,0.00020638110502407825,-0.0028585273988361417,0.00019695846132904322,0.0031402463088203714,-377647.1803999916,-3973662.7,1,0.0,0.004168622488037219,0.005520570189409428,1.081747704416565,0.08022702911790436,LPL,SGMA,NYSE,Market,0
-4518531.0,0.8913278031354288,-0.005250789912129683,188495430.90000057,0.7774065511757993,0.00017259182336942618,90626.48559998535,-0.001249394224942037,-834727.5753000012,0.0,0.0,-11508002.0,97016.0,-13597838.0,-2138795.0,-482602.0,-515830.0,-273694.0,-320728.0,-573370.0,-0.34894348526220575,0.06861832442320431,-0.0002824703772875141,-0.001110375965397703,-2138795.0,0.08209999999999999,-43529.0,-18.18339999999958,0.9124468365650316,2.5665949752090578e-05,14602522.500000477,0.0,2423265.0,-0.0006992565488525091,0.8607195677463135,-0.0003047536072515169,0.00522512396237762,-212195.5661999965,289469728.0000001,1,0.0,1.126350036438005,0.7921012433231094,-2.2283229964002813e-05,0.006335499927775323,LPL,SGMA,NYSE,Limit,0
2395662.0,-4.951063226604401,0.010111046671607837,-1516621069.3000011,-2.6014878000008412,0.0006799252193225216,342599.88179999404,-0.0017842201965787528,-1170739.2833000028,0.0,0.0,-65454563.0,-99484.0,-74663058.0,-9016640.0,-7523901.0,-395593.0,-143496.0,-376800.0,-402689.0,1.4990177396448523,0.35780714318473483,0.00013275240499685753,0.021027314705280686,-9016640.0,-0.017499999999999988,-1760347.0,-10.099599999999697,-4.843648391681157,-0.0022887305855820335,-191825272.50000072,0.0,-9651955.0,0.00048327727261378295,-0.30103736668232717,0.00017604771457090714,-0.007822316086025849,80039.35190000292,-116049210.5999996,1,0.0,-4.1005055396456935,-0.6588445098670621,4.329530957404961e-05,-0.028849630791306535,LPL,SGMA,NYSE,Limit,0
-349183.0,-0.011511715697462677,-0.018906372992386455,-1234843.900000006,0.008107012800228297,-0.00018501389949113559,2115500.279299993,-0.0032207728101973573,-2297422.087700004,0.0,0.0,-7195.0,56846.0,132003109.0,132010893.0,131778025.0,194368.0,35310.0,703.0,1343.0,-0.03897025670182999,-0.04049239494628752,-0.0021355436132577676,-0.00775192509628253,132010893.0,0.033,-948248.0,29.73030000000142,0.19711285518079524,-0.00860823358483747,7049547.299999952,0.0,133308324.0,-0.00107569573559091,0.01479788759347021,-0.0006674656339827612,0.027514606577223932,331234.71750000585,14735125.700000003,1,0.0,0.04707726950205829,0.055290282539757735,0.0014680779792750065,0.03526653167350646,LPL,SGMA,NASDAQ,Market,0
-12092623.0,0.07027047715448037,-0.00551422466675093,4393714.800000016,0.030687542016713976,0.002802101019005028,1257354.692899987,0.005226122146426059,4348545.785400003,0.0,0.0,511600.0,78220.0,-66104718.0,-66640120.0,-66723783.0,-7532.0,-42376.0,-8475.0,142864.0,0.032624684297860335,0.07402746066776932,-0.0009291492991653138,-0.08553542173433759,-66640120.0,-0.010399999999999993,-3190344.0,29.86809999999889,0.37748493662909044,-0.00027156602989210354,10182746.500000045,0.0,-51357153.0,0.0020497948073704047,0.008994399347675493,0.0017884946633368705,0.005785790696643089,1097623.7081999918,4560663.600000009,1,0.0,-0.001937142281146359,-0.06503306132009382,0.0027176439625021843,0.09132121243098068,LPL,SGMA,NASDAQ,Market,0
23031353.0,0.091884798765232,0.031283243210057335,15678231.900000032,0.01699224318937967,-0.002873330588340533,-2929652.830099957,0.0002111738693642484,-20859.27809999883,0.0,0.0,-150230.0,85781.0,-27692931.0,-27518628.0,-27209932.0,-142206.0,-19081.0,-4677.0,-149975.0,0.01691120911668373,-0.06103491618729889,-0.0010029674817976682,-0.0035251569007692662,-27518628.0,0.0691,-3180284.0,-9.087400000000741,-0.3740701851588506,-0.0023728766228495735,-18201259.599999957,0.0,-47369697.0,-0.00037733698959113195,0.022134276797182197,-0.0005920334238124839,-0.028910366587207803,-718900.5914999964,12812261.099999964,1,0.0,8.103407269594021e-05,0.08316919298448108,0.0004109340579851843,-0.025385209686438537,LPL,SGMA,NASDAQ,Market,0
-8435387.0,-0.20816756136838585,-0.011355820487167184,-24484548.400000043,-0.10104735489992321,0.0004562394270219046,514669.7128000278,-0.0004919092391014838,-354326.93369999994,0.0,0.0,-647162.0,32448.0,7141373.0,7797247.0,7941153.0,-55119.0,-37892.0,-24253.0,-16863.0,-0.059412102308234876,-0.022343696455228337,1.6095594402003137e-05,-0.01966375246767027,7797247.0,0.005700000000000011,-9704231.0,-36.314299999999434,-0.5249795270175037,-0.011990496374193728,-25491675.70000007,0.0,25936865.0,0.000562467432885105,-0.04972115147231143,0.0006942537850405783,0.023346316861360905,640793.4864999875,-33340010.699999973,1,0.0,-0.041635252591688335,-0.027377455017083094,0.0006781581906385751,0.043010069329031175,LPL,SGMA,NASDAQ,Market,0
4628767.0,0.017888639807814355,-0.010365044250238181,2479287.200000001,-0.001853519168778385,0.0013318231145598887,3300328.487699963,-0.0005727245697117744,247402.96649999637,0.0,0.0,-660481.0,224847.0,115322618.0,115981724.0,115987745.0,15392.0,9733.0,-1858.0,-29288.0,-0.008911766267137522,-0.013346767394993186,0.001257614583661232,0.021788358617827797,115981724.0,-0.0131,6465302.0,-11.362500000000068,-0.07907923342989875,0.0031653267596488815,2406301.3000000156,0.0,104887655.0,0.00019160435574181595,-0.0031226609009814346,0.00023486609835502575,0.007199717490589341,1197755.3406000286,-418761.50000000186,1,0.0,0.00705824709835913,0.010224106494011745,-0.0010227484853062062,-0.014588641127238455,LPL,SGMA,NASDAQ,Market,0
15795678.0,0.9083586725012012,-0.025568862494139255,594032098.699997,1.0229171841314368,-0.00036652985901368916,1053775.0723000243,-0.9493867331822721,-582470866.1274999,0.0,0.0,173216473.0,504382.0,255100603.0,81639921.0,80700907.0,136483.0,165044.0,132111.0,264172.0,0.1157997590161628,0.03136380572529529,8.767245917689183e-05,-0.011543365594721411,81639921.0,0.010299999999999997,2113519.0,13.449300000000164,34.19625091357442,-0.00020146905426102896,743241188.0999999,0.0,63730724.0,-0.0005634069523096797,0.6684191684977518,-0.00012169365982634198,0.02577033154840025,340752.4495000071,273524728.79999995,1,0.0,0.907117425115274,0.6370553627724566,-0.0002093661190032338,0.03731369714312166,LPL,SGMA,NASDAQ,Limit,0
