MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT
AQUA,2010Q1,Other,12,57009,218901928,218035825,275300,90068,242600,32800,4300,16909,55547,0.012587725526044972,0.002839076219044908,314174.0,0.011732373780134576,196.32019199551837,25158.0,519.0878050719452,26036.0,0.1815,1191.1336956521736,365368,61678699.99999999,3686.0068,13059210.999999998,31012356.899999995,4599.152099999999,1037.3075999999999,0.8598837336603096,0.06885660484771518,0.07125966149197521,Limit,0.010088477370760438,289.4349475049812,0.3948431050107274,0.4650406286495822,40.38643830179364,155.93375369372473,0.0024095230580623767,0.007678954312698062,106.67938723376142,182.7555602712198
AQUA,2010Q1,Other,13,20579,68120297,67812083,54100,14314,38600,13000,1300,2400,6000,0.01430635542432835,0.0,0.0,,,0.0,,0.0,0.0,,68414,0.0,0.0,0.0,0.0,978.7549999999998,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q1,Other,14,17975,65833809,65651828,12200,43481,9700,2500,400,10900,17586,-0.004143743826439898,0.0,0.0,,,0.0,,0.0,0.0,,55681,0.0,0.0,0.0,0.0,-230.72779999999997,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q1,Other,15,27039,105987786,105753713,0,13807,0,0,0,1400,8034,-0.01239737089881944,0.0,0.0,,,0.0,,0.0,0.0,,13807,0.0,0.0,0.0,0.0,-171.1705,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q2,NASDAQ,11,190,791925,656100,121100,14725,121100,0,900,11725,2100,0.006028161236885701,0.005252033867108412,127325.0,0.025797820537993323,7.805654820341646,1800.0,316.0,6700.0,0.051300000000000005,112.74925373134329,135825,993855.0,3284.7075,568800.0,755420.0,818.7750000000003,713.3575,0.9374194735873367,0.013252346769740474,0.04932817964292288,Market,0.024183379348426282,17.066629854592307,0.5314241969242935,0.40599527666304314,1.989347901196193,5.816306919145453,0.006649909802228085,0.017533469546198197,3.80163542007764,13.264994434514668
AQUA,2010Q2,NASDAQ,12,28900,111192661,110523393,211400,309304,145100,58200,55456,125984,91817,-0.0015569640333087504,-0.0010007103844026533,377626.0,0.022567365859342308,219.69700285467633,64390.0,423.16006367448364,78688.0,0.8916999999999999,2797.775625254169,520704,82963300.4,8522.024099999999,27247276.5,220151368.40000004,-810.7173999999995,-521.0738999999992,0.7252220071288102,0.12365950712881023,0.15111848574237954,Limit,0.016366350364122415,634.452482216384,0.3951914694095107,0.3300305377192995,45.00058119560579,174.69642165907055,0.004131519026063088,0.012234831338059327,166.59623230080712,467.85624991557694
AQUA,2010Q2,NASDAQ,13,14675,52430754,52248632,71600,73738,39900,27300,11500,24223,20549,-0.01186822579091497,0.0,0.0,,,0.0,,0.0,0.0,,145338,0.0,0.0,0.0,0.0,-1724.9042,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q2,NASDAQ,14,7327,29124908,28897019,9400,164151,11000,1900,7262,38009,64428,-0.02252382642566162,0.0,0.0,,,0.0,,0.0,0.0,,173551,0.0,0.0,0.0,0.0,-3909.0326,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q2,NASDAQ,15,3787,16398396,16304093,0,30359,0,0,1100,2670,15641,-0.03226766691920024,0.0,0.0,,,0.0,,0.0,0.0,,30359,0.0,0.0,0.0,0.0,-979.6141,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q2,NYSE,11,67,374840,258661,108200,7979,108200,246,0,3933,3800,-0.0029612967920192163,0.003693778565833757,111733.0,0.015349212855646941,4.880647615297183,200.0,67.0,4246.0,0.0806,435.00047103155913,116179,545329.4000000001,1715.0135999999998,13400.0,1847012.0,-344.0405000000005,429.13950000000006,0.9617314660997254,0.0017214815069849113,0.03654705239328967,Market,0.014761820983138085,20.707196653439954,0.5222787254184277,0.4394527406812977,1.1838377444537616,3.6968098708434214,0.0038723658142916866,0.010889455168846398,4.409334518154829,16.297862135285126
AQUA,2010Q2,NYSE,12,17820,80412616,79928107,264700,180009,225250,51900,6606,63805,74526,-0.0034492524324895597,0.0030175217951514365,364425.0,0.014083265418124442,258.88901612128694,50500.0,756.4045544554456,29784.0,0.6142,911.1122784045123,444709,94345629.7,5132.294,38198430.0,27136568.099999994,-1533.9135999999996,1341.9191,0.8194684613983526,0.11355740495470071,0.06697413364694665,Limit,0.011540791843655064,359.06767751495926,0.3846454261425919,0.4348230352557607,52.149588500401194,206.73942762088575,0.0028590377483115356,0.008681754095343528,81.34889252382165,277.7187849911376
AQUA,2010Q2,NYSE,13,5441,22791360,22659430,38900,62830,20100,15500,12100,18173,26063,-0.01751362921458763,0.0,0.0,,,0.0,,0.0,0.0,,101730,0.0,0.0,0.0,0.0,-1781.6614999999997,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q2,NYSE,14,3834,17249272,17116055,18500,81005,18500,2600,3600,21590,29786,-0.04091306668006633,0.0,0.0,,,0.0,,0.0,0.0,,99505,0.0,0.0,0.0,0.0,-4071.0546999999997,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q2,NYSE,15,2470,11665090,11574753,0,52837,0,100,2900,11460,31001,0.05103938338664194,0.0,0.0,,,0.0,,0.0,0.0,,52837,0.0,0.0,0.0,0.0,2696.7679000000003,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q2,Other,11,107,584634,337163,228800,18671,228800,0,400,2700,14571,0.0677766283726174,-0.003164330365982277,235871.0,0.019006236459759785,29.79473780159494,5200.0,8.423076923076923,6400.0,0.1187,995.775,247471,7027714.600000001,4483.02,43800.0,6372960.0,16772.75,-783.08,0.9531258208032456,0.021012563088200233,0.025861616108554135,Market,0.018115334726089116,54.327475138501086,0.5394043491486976,0.413721471654548,6.48474642783094,23.309991373764,0.0046762869820688325,0.013439047744020284,11.349872596667588,42.9776025418335
AQUA,2010Q2,Other,12,49657,193052222,192013818,447400,422085,279300,177968,59798,139186,158668,0.00419167714221637,-0.0032430429507122028,705232.0,0.01719541427501872,315.00255844885083,99655.0,1077.214849229843,64598.0,0.8962000000000001,656.9581983962352,869485,222149884.29999995,12126.756400000002,107349845.8,42438185.699999996,3644.6004000000003,-2819.7771999999995,0.8110916232022404,0.1146138231251833,0.0742945536725763,Limit,0.013947056475959908,427.76806477397537,0.405397971517255,0.4056936516849854,67.56154977636136,247.4410086724895,0.003298316346881571,0.010648740129078337,129.01343641633306,298.75462835764233
AQUA,2010Q2,Other,13,20485,69903472,69439247,102900,230206,81100,21500,22300,66839,73632,-0.028775708633287902,0.0,0.0,,,0.0,,0.0,0.0,,333106,0.0,0.0,0.0,0.0,-9585.3612,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q2,Other,14,16457,61708035,61291534,14800,271289,9800,7416,19733,76971,115350,-0.0027443826920993163,0.0,0.0,,,0.0,,0.0,0.0,,286089,0.0,0.0,0.0,0.0,-785.1377000000014,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q2,Other,15,7397,31408582,31194573,8400,115366,0,3554,17284,33534,43300,-0.00787246497422556,0.0,0.0,,,0.0,,0.0,0.0,,123766,0.0,0.0,0.0,0.0,-974.3435000000007,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q3,NASDAQ,11,357,1466850,1284938,158600,20812,153600,5000,0,200,7700,0.027496072169085683,0.005689700243016075,169333.0,0.026596728930568758,268.694708060449,500.0,5178.24,9579.0,0.31820000000000004,4658.805887879737,179412,45498881.00000001,4503.7038999999995,2589120.0,44626701.6,4933.125300000001,1020.8005,0.9438220408891267,0.0027868815909749627,0.053391077519898335,Market,0.025102578980224284,516.7697957773171,0.5241031341683617,0.41971890672076495,54.046177063883,214.648530996566,0.0064327835552854,0.018669795424938886,103.62648879682042,413.1433069804967
AQUA,2010Q3,NASDAQ,12,28897,104043877,103464553,254200,185519,213100,39200,10400,73497,75677,-0.017377525647060965,-0.0019179421403214328,368446.0,0.015310990755768826,293.32093061127006,52064.0,1198.27280654579,19209.0,0.4536,2278.3418762038627,439719,108072923.60000001,5641.273300000001,62386875.400000006,43764669.1,-7641.2282000000005,-843.3556000000001,0.8379123940516557,0.11840288911782297,0.04368471683052131,Limit,0.012829268919469027,487.1849251453769,0.42350569713450065,0.4144066969171551,59.31454538066614,234.0063852306039,0.003455790014219353,0.009373478905249673,138.2640977772402,348.92082736813666
AQUA,2010Q3,NASDAQ,13,21108,70039555,69683136,88100,95642,68200,12700,9600,19092,25682,-0.03790089146738362,0.0,0.0,,,0.0,,0.0,0.0,,183742,0.0,0.0,0.0,0.0,-6963.9856,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q3,NASDAQ,14,13152,46193939,45926073,0,72066,0,2600,100,15229,27838,-0.009090048011544973,0.0,0.0,,,0.0,,0.0,0.0,,72066,0.0,0.0,0.0,0.0,-655.0834,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
